Region code,Region name ,Local authority code,Local authority name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E12000001,North East,E06000001,Hartlepool,15747,16149,16121,15743,17264,18251,17153,17258,20850,20478,19913,21047,21298,23762,23430,24741,27220,25143,26445,26112,25638,25729,26010,28093,28332,30114,32313,32947
E12000001,North East,E06000002,Middlesbrough,15914,15319,16073,16513,17273,19252,17999,18635,18706,20189,20495,21301,22593,21628,21932,24669,24133,23971,24751,25722,25626,25170,26203,27005,25922,29777,31631,31638
E12000001,North East,E06000003,Redcar and Cleveland,19206,18747,21274,22135,21763,20806,20554,23903,25049,22897,24176,25340,25415,24156,25412,23684,25295,26323,26792,24496,25456,26170,25846,26220,24821,26462,30565,30652
E12000001,North East,E06000004,Stockton-on-Tees,16838,17062,17199,18147,19186,18392,18656,20660,21390,21684,22766,22859,24156,23563,23829,23408,24141,25096,25345,26884,25258,26540,29049,30531,29026,30643,30520,31350
E12000001,North East,E06000005,Darlington,15424,14453,15915,16043,17220,18568,18015,18264,18504,19913,22633,22556,22630,22259,23363,24149,21288,25502,26570,27009,25712,26043,27888,28045,29280,30357,30749,34146
E12000001,North East,E06000047,County Durham,,,,,,,17739,18173,19400,18701,19800,20098,20683,21500,21569,22038,23469,23707,24062,24188,25105,25810,26378,26609,26219,27737,29384,31365
E12000001,North East,E06000057,Northumberland,,,,,,,17979,18134,18619,20421,20298,20790,22143,23032,21625,23358,22684,22328,23831,25177,24927,25052,25773,27015,27681,29686,30939,32541
E12000001,North East,E08000021,Newcastle upon Tyne,15924,15825,16988,19504,19070,19004,18872,20204,21742,21513,21780,22561,24851,24924,25186,25111,25333,25928,27034,26839,28501,27813,28911,29709,30705,31808,33817,35129
E12000001,North East,E08000022,North Tyneside,14923,15575,15701,16962,17600,18123,18712,20152,20409,20590,19781,21978,23463,24960,24420,24432,25023,24936,25583,25309,26174,27701,28850,27460,27306,30078,31574,35085
E12000001,North East,E08000023,South Tyneside,15116,16420,17114,17345,18617,18358,17618,18608,18422,19981,19788,21304,21795,19668,23448,22504,23607,24540,24575,22405,23226,23620,24458,26767,24802,27826,28263,32456
E12000001,North East,E08000024,Sunderland,14980,15888,16011,16441,17069,17781,18216,18791,20112,20680,21515,22503,22561,23305,22960,23323,24227,25041,25284,25985,26156,26094,27134,28376,26820,28160,29672,32923
E12000001,North East,E08000037,Gateshead,,,,,,,17629,19577,22241,20328,20768,20931,21581,22997,24675,25888,25491,25627,25653,25054,24761,25566,26152,25788,25844,28707,30601,31683
E12000002,North West,E06000006,Halton,17114,18012,17891,19253,18242,20600,21032,21059,23012,25059,23141,25302,24828,26688,24027,25165,25279,26798,27460,27447,28762,29203,30000,30990,29557,33784,36317,36788
E12000002,North West,E06000007,Warrington,16832,17125,16614,18309,19889,19298,21277,20040,21981,20934,25715,26907,26951,26488,26927,27516,26183,27300,27389,27204,27565,28526,28145,31017,32018,32986,34963,39260
E12000002,North West,E06000008,Blackburn with Darwen,14667,15324,15702,16357,17892,18027,18743,20748,21324,21076,20523,23161,22920,23113,22864,23723,24610,24531,23936,25004,25283,24212,25566,25339,27551,28306,31159,35310
E12000002,North West,E06000009,Blackpool,13483,13738,14793,15171,15659,16861,18492,18347,19627,19222,19003,18632,19410,18663,19647,20547,19998,20577,21462,20777,24107,24285,25593,24759,28430,26872,30407,33918
